code_snippet,label
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
"@app.route('/comment')
def comment():
    user_comment = request.args.get('comment')
    return ""<p>"" + user_comment + ""</p>"" ",XSS
"@app.route('/search')
def search():
    query = request.args.get('q')
    return ""<div>"" + query + ""</div>"" ",XSS
"from flask import Flask, request
app = Flask(__name__)
@app.route('/')
def home():
    name = request.args.get('name')
    return f""<h1>Hello {name}</h1>"" ",XSS
